country_name,date,daily_cases,pct_of_peak
Brazil,2020-03-01,129,0.01
Brazil,2020-03-02,180,0.02
Brazil,2020-03-03,136,0.01
Brazil,2020-03-04,328,0.03
Brazil,2020-03-05,101,0.01
Brazil,2020-03-06,98,0.01
Brazil,2020-03-07,85,0.01
Brazil,2020-03-08,131,0.01
Brazil,2020-03-09,260,0.03
Brazil,2020-03-10,406,0.04
Brazil,2020-03-11,316,0.03
Brazil,2020-03-12,327,0.03
Brazil,2020-03-13,888,0.09
Brazil,2020-03-14,387,0.04
Brazil,2020-03-15,856,0.09
Brazil,2020-03-16,1157,0.12
Brazil,2020-03-17,824,0.09
Brazil,2020-03-18,2425,0.26
Brazil,2020-03-19,1262,0.13
Brazil,2020-03-20,1676,0.18
Brazil,2020-03-21,1136,0.12
Brazil,2020-03-22,1406,0.15
Brazil,2020-03-23,9792,1.04
Brazil,2020-03-24,2088,0.22
Brazil,2020-03-25,3623,0.39
Brazil,2020-03-26,2810,0.3
Brazil,2020-03-27,1068,0.11
Brazil,2020-03-28,7479,0.8
Brazil,2020-03-29,1266,0.13
Brazil,2020-03-30,1238,0.13
Brazil,2020-03-31,4218,0.45
Brazil,2020-04-01,4419,0.47
Brazil,2020-04-02,4037,0.43
Brazil,2020-04-03,4266,0.45
Brazil,2020-04-04,4376,0.47
Brazil,2020-04-05,2928,0.31
Brazil,2020-04-06,3262,0.35
Brazil,2020-04-07,6159,0.65
Brazil,2020-04-08,7905,0.84
Brazil,2020-04-09,6900,0.73
Brazil,2020-04-10,6482,0.69
Brazil,2020-04-11,3958,0.42
Brazil,2020-04-12,4899,0.52
Brazil,2020-04-13,4910,0.52
Brazil,2020-04-14,6265,0.67
Brazil,2020-04-15,11543,1.23
Brazil,2020-04-16,7209,0.77
Brazil,2020-04-17,12191,1.3
Brazil,2020-04-18,10513,1.12
Brazil,2020-04-19,6921,0.74
Brazil,2020-04-20,6852,0.73
Brazil,2020-04-21,9090,0.97
Brazil,2020-04-22,9861,1.05
Brazil,2020-04-23,13245,1.41
Brazil,2020-04-24,12637,1.34
Brazil,2020-04-25,19455,2.07
Brazil,2020-04-26,11379,1.21
Brazil,2020-04-27,17035,1.81
Brazil,2020-04-28,20024,2.13
Brazil,2020-04-29,22112,2.35
Brazil,2020-04-30,25721,2.74
Brazil,2020-05-01,20562,2.19
Brazil,2020-05-02,17310,1.84
Brazil,2020-05-03,15414,1.64
Brazil,2020-05-04,23915,2.54
Brazil,2020-05-05,24142,2.57
Brazil,2020-05-06,36491,3.88
Brazil,2020-05-07,34047,3.62
Brazil,2020-05-08,35434,3.77
Brazil,2020-05-09,35984,3.83
Brazil,2020-05-10,22512,2.39
Brazil,2020-05-11,20190,2.15
Brazil,2020-05-12,31761,3.38
Brazil,2020-05-13,38547,4.1
Brazil,2020-05-14,46523,4.95
Brazil,2020-05-15,51694,5.5
Brazil,2020-05-16,50582,5.38
Brazil,2020-05-17,26380,2.81
Brazil,2020-05-18,43375,4.61
Brazil,2020-05-19,59323,6.31
Brazil,2020-05-20,67418,7.17
Brazil,2020-05-21,62716,6.67
Brazil,2020-05-22,68883,7.32
Brazil,2020-05-23,54149,5.76
Brazil,2020-05-24,51877,5.52
Brazil,2020-05-25,39812,4.23
Brazil,2020-05-26,54596,5.81
Brazil,2020-05-27,68752,7.31
Brazil,2020-05-28,86736,9.22
Brazil,2020-05-29,88743,9.44
Brazil,2020-05-30,108761,11.56
Brazil,2020-05-31,50566,5.38
Brazil,2020-06-01,41717,4.44
Brazil,2020-06-02,96335,10.24
Brazil,2020-06-03,94164,10.01
Brazil,2020-06-04,100233,10.66
Brazil,2020-06-05,101262,10.77
Brazil,2020-06-06,88487,9.41
Brazil,2020-06-07,61100,6.5
Brazil,2020-06-08,50777,5.4
Brazil,2020-06-09,104596,11.12
Brazil,2020-06-10,108021,11.49
Brazil,2020-06-11,98677,10.49
Brazil,2020-06-12,84575,8.99
Brazil,2020-06-13,71670,7.62
Brazil,2020-06-14,57347,6.1
Brazil,2020-06-15,68547,7.29
Brazil,2020-06-16,115436,12.27
Brazil,2020-06-17,104188,11.08
Brazil,2020-06-18,72912,7.75
Brazil,2020-06-19,179737,19.11
Brazil,2020-06-20,108664,11.55
Brazil,2020-06-21,56158,5.97
Brazil,2020-06-22,69702,7.41
Brazil,2020-06-23,126705,13.47
Brazil,2020-06-24,138949,14.77
Brazil,2020-06-25,128583,13.67
Brazil,2020-06-26,151342,16.09
Brazil,2020-06-27,124315,13.22
Brazil,2020-06-28,98594,10.48
Brazil,2020-06-29,78351,8.33
Brazil,2020-06-30,112576,11.97
Brazil,2020-07-01,146327,15.56
Brazil,2020-07-02,156347,16.62
Brazil,2020-07-03,135075,14.36
Brazil,2020-07-04,121806,12.95
Brazil,2020-07-05,85108,9.05
Brazil,2020-07-06,66766,7.1
Brazil,2020-07-07,146266,15.55
Brazil,2020-07-08,143311,15.24
Brazil,2020-07-09,135457,14.4
Brazil,2020-07-10,144029,15.32
Brazil,2020-07-11,123424,13.12
Brazil,2020-07-12,80114,8.52
Brazil,2020-07-13,66529,7.07
Brazil,2020-07-14,135941,14.46
Brazil,2020-07-15,127653,13.57
Brazil,2020-07-16,145843,15.51
Brazil,2020-07-17,109814,11.68
Brazil,2020-07-18,91887,9.77
Brazil,2020-07-19,75640,8.04
Brazil,2020-07-20,65961,7.01
Brazil,2020-07-21,129802,13.8
Brazil,2020-07-22,215814,22.95
Brazil,2020-07-23,190837,20.29
Brazil,2020-07-24,178965,19.03
Brazil,2020-07-25,162549,17.28
Brazil,2020-07-26,78755,8.37
Brazil,2020-07-27,77234,8.21
Brazil,2020-07-28,129189,13.74
Brazil,2020-07-29,220254,23.42
Brazil,2020-07-30,186105,19.79
Brazil,2020-07-31,169337,18.01
Brazil,2020-08-01,142969,15.2
Brazil,2020-08-02,82392,8.76
Brazil,2020-08-03,54234,5.77
Brazil,2020-08-04,163717,17.41
Brazil,2020-08-05,180684,19.21
Brazil,2020-08-06,173332,18.43
Brazil,2020-08-07,159908,17.0
Brazil,2020-08-08,158508,16.85
Brazil,2020-08-09,72337,7.69
Brazil,2020-08-10,72047,7.66
Brazil,2020-08-11,166242,17.68
Brazil,2020-08-12,180855,19.23
Brazil,2020-08-13,195157,20.75
Brazil,2020-08-14,162295,17.26
Brazil,2020-08-15,132778,14.12
Brazil,2020-08-16,72865,7.75
Brazil,2020-08-17,62504,6.65
Brazil,2020-08-18,151748,16.14
Brazil,2020-08-19,157494,16.75
Brazil,2020-08-20,144654,15.38
Brazil,2020-08-21,97360,10.35
Brazil,2020-08-22,159666,16.98
Brazil,2020-08-23,75568,8.04
Brazil,2020-08-24,55196,5.87
Brazil,2020-08-25,152591,16.23
Brazil,2020-08-26,149228,15.87
Brazil,2020-08-27,141354,15.03
Brazil,2020-08-28,136891,14.56
Brazil,2020-08-29,130858,13.91
Brazil,2020-08-30,51515,5.48
Brazil,2020-08-31,141620,15.06
Brazil,2020-09-01,135768,14.44
Brazil,2020-09-02,147894,15.73
Brazil,2020-09-03,140149,14.9
Brazil,2020-09-04,162114,17.24
Brazil,2020-09-05,97401,10.36
Brazil,2020-09-06,47052,5.0
Brazil,2020-09-07,33183,3.53
Brazil,2020-09-08,46185,4.91
Brazil,2020-09-09,112826,12.0
Brazil,2020-09-10,129658,13.79
Brazil,2020-09-11,137846,14.66
Brazil,2020-09-12,105386,11.21
Brazil,2020-09-13,47133,5.01
Brazil,2020-09-14,50698,5.39
Brazil,2020-09-15,117107,12.45
Brazil,2020-09-16,117548,12.5
Brazil,2020-09-17,117000,12.44
Brazil,2020-09-18,126996,13.5
Brazil,2020-09-19,105110,11.18
Brazil,2020-09-20,52698,5.6
Brazil,2020-09-21,43494,4.62
Brazil,2020-09-22,105354,11.2
Brazil,2020-09-23,107002,11.38
Brazil,2020-09-24,104690,11.13
Brazil,2020-09-25,101909,10.84
Brazil,2020-09-26,88949,9.46
Brazil,2020-09-27,47147,5.01
Brazil,2020-09-28,43543,4.63
Brazil,2020-09-29,100958,10.74
Brazil,2020-09-30,105512,11.22
Brazil,2020-10-01,117906,12.54
Brazil,2020-10-02,108694,11.56
Brazil,2020-10-03,82804,8.8
Brazil,2020-10-04,26659,2.83
Brazil,2020-10-05,40173,4.27
Brazil,2020-10-06,133165,14.16
Brazil,2020-10-07,100611,10.7
Brazil,2020-10-08,87811,9.34
Brazil,2020-10-09,86952,9.25
Brazil,2020-10-10,84243,8.96
Brazil,2020-10-11,39051,4.15
Brazil,2020-10-12,26690,2.84
Brazil,2020-10-13,33398,3.55
Brazil,2020-10-14,85957,9.14
Brazil,2020-10-15,89582,9.53
Brazil,2020-10-16,99126,10.54
Brazil,2020-10-17,75271,8.0
Brazil,2020-10-18,34531,3.67
Brazil,2020-10-19,50264,5.34
Brazil,2020-10-20,73052,7.77
Brazil,2020-10-21,78194,8.31
Brazil,2020-10-22,79602,8.46
Brazil,2020-10-23,95568,10.16
Brazil,2020-10-24,85209,9.06
Brazil,2020-10-25,43112,4.58
Brazil,2020-10-26,51353,5.46
Brazil,2020-10-27,95046,10.11
Brazil,2020-10-28,90493,9.62
Brazil,2020-10-29,83391,8.87
Brazil,2020-10-30,70734,7.52
Brazil,2020-10-31,60340,6.42
Brazil,2020-11-01,31942,3.4
Brazil,2020-11-02,27462,2.92
Brazil,2020-11-03,38151,4.06
Brazil,2020-11-04,76035,8.09
Brazil,2020-11-05,70425,7.49
Brazil,2020-11-06,68033,7.23
Brazil,2020-11-07,61400,6.53
Brazil,2020-11-08,33407,3.55
Brazil,2020-11-09,35050,3.73
Brazil,2020-11-10,78098,8.3
Brazil,2020-11-11,155663,16.55
Brazil,2020-11-12,108419,11.53
Brazil,2020-11-13,91863,9.77
Brazil,2020-11-14,120788,12.84
Brazil,2020-11-15,45018,4.79
Brazil,2020-11-16,43701,4.65
Brazil,2020-11-17,112349,11.95
Brazil,2020-11-18,108237,11.51
Brazil,2020-11-19,114078,12.13
Brazil,2020-11-20,121620,12.93
Brazil,2020-11-21,102707,10.92
Brazil,2020-11-22,58080,6.18
Brazil,2020-11-23,53025,5.64
Brazil,2020-11-24,98242,10.45
Brazil,2020-11-25,152711,16.24
Brazil,2020-11-26,118647,12.62
Brazil,2020-11-27,106673,11.34
Brazil,2020-11-28,162666,17.3
Brazil,2020-11-29,76803,8.17
Brazil,2020-11-30,66607,7.08
Brazil,2020-12-01,160829,17.1
Brazil,2020-12-02,157592,16.76
Brazil,2020-12-03,159586,16.97
Brazil,2020-12-04,147944,15.73
Brazil,2020-12-05,136150,14.48
Brazil,2020-12-06,82810,8.81
Brazil,2020-12-07,64572,6.87
Brazil,2020-12-08,161139,17.13
Brazil,2020-12-09,167848,17.85
Brazil,2020-12-10,167328,17.79
Brazil,2020-12-11,171729,18.26
Brazil,2020-12-12,137402,14.61
Brazil,2020-12-13,70169,7.46
Brazil,2020-12-14,80281,8.54
Brazil,2020-12-15,136390,14.5
Brazil,2020-12-16,231980,24.67
Brazil,2020-12-17,224019,23.82
Brazil,2020-12-18,166033,17.65
Brazil,2020-12-19,157291,16.73
Brazil,2020-12-20,79079,8.41
Brazil,2020-12-21,80413,8.55
Brazil,2020-12-22,173387,18.44
Brazil,2020-12-23,147188,15.65
Brazil,2020-12-24,194684,20.7
Brazil,2020-12-25,72419,7.7
Brazil,2020-12-26,55473,5.9
Brazil,2020-12-27,58828,6.26
Brazil,2020-12-28,67064,7.13
Brazil,2020-12-29,187396,19.93
Brazil,2020-12-30,177627,18.89
Brazil,2020-12-31,178186,18.95
Brazil,2021-01-01,77567,8.25
Brazil,2021-01-02,50621,5.38
Brazil,2021-01-03,54699,5.82
Brazil,2021-01-04,67773,7.21
Brazil,2021-01-05,180879,19.23
Brazil,2021-01-06,201630,21.44
Brazil,2021-01-07,274644,29.2
Brazil,2021-01-08,168572,17.92
Brazil,2021-01-09,193970,20.63
Brazil,2021-01-10,94804,10.08
Brazil,2021-01-11,83487,8.88
Brazil,2021-01-12,204946,21.79
Brazil,2021-01-13,196062,20.85
Brazil,2021-01-14,214795,22.84
Brazil,2021-01-15,220254,23.42
Brazil,2021-01-16,194221,20.65
Brazil,2021-01-17,104851,11.15
Brazil,2021-01-18,76711,8.16
Brazil,2021-01-19,198106,21.07
Brazil,2021-01-20,200934,21.37
Brazil,2021-01-21,189907,20.19
Brazil,2021-01-22,179023,19.04
Brazil,2021-01-23,194755,20.71
Brazil,2021-01-24,89841,9.55
Brazil,2021-01-25,88824,9.44
Brazil,2021-01-26,195251,20.76
Brazil,2021-01-27,201375,21.41
Brazil,2021-01-28,197934,21.05
Brazil,2021-01-29,190068,20.21
Brazil,2021-01-30,183540,19.52
Brazil,2021-01-31,88651,9.43
Brazil,2021-02-01,80253,8.53
Brazil,2021-02-02,170095,18.09
Brazil,2021-02-03,177003,18.82
Brazil,2021-02-04,180264,19.17
Brazil,2021-02-05,161416,17.16
Brazil,2021-02-06,158345,16.84
Brazil,2021-02-07,86920,9.24
Brazil,2021-02-08,76847,8.17
Brazil,2021-02-09,163072,17.34
Brazil,2021-02-10,189810,20.18
Brazil,2021-02-11,173676,18.47
Brazil,2021-02-12,162589,17.29
Brazil,2021-02-13,139479,14.83
Brazil,2021-02-14,79496,8.45
Brazil,2021-02-15,102124,10.86
Brazil,2021-02-16,184339,19.6
Brazil,2021-02-17,183437,19.51
Brazil,2021-02-18,164591,17.5
Brazil,2021-02-19,159462,16.96
Brazil,2021-02-20,182364,19.39
Brazil,2021-02-21,92102,9.79
Brazil,2021-02-22,86837,9.23
Brazil,2021-02-23,197003,20.95
Brazil,2021-02-24,209857,22.31
Brazil,2021-02-25,209530,22.28
Brazil,2021-02-26,206999,22.01
Brazil,2021-02-27,192352,20.45
Brazil,2021-02-28,108420,11.53
Brazil,2021-03-01,117127,12.45
Brazil,2021-03-02,187838,19.97
Brazil,2021-03-03,227252,24.16
Brazil,2021-03-04,238099,25.32
Brazil,2021-03-05,238737,25.39
Brazil,2021-03-06,219394,23.33
Brazil,2021-03-07,287212,30.54
Brazil,2021-03-08,104728,11.14
Brazil,2021-03-09,223119,23.73
Brazil,2021-03-10,267887,28.49
Brazil,2021-03-11,238130,25.32
Brazil,2021-03-12,272105,28.93
Brazil,2021-03-13,240181,25.54
Brazil,2021-03-14,142610,15.16
Brazil,2021-03-15,118211,12.57
Brazil,2021-03-16,266663,28.36
Brazil,2021-03-17,285222,30.33
Brazil,2021-03-18,275743,29.32
Brazil,2021-03-19,286136,30.43
Brazil,2021-03-20,249965,26.58
Brazil,2021-03-21,155526,16.54
Brazil,2021-03-22,162375,17.27
Brazil,2021-03-23,259436,27.59
Brazil,2021-03-24,282615,30.05
Brazil,2021-03-25,315211,33.52
Brazil,2021-03-26,270250,28.74
Brazil,2021-03-27,266671,28.36
Brazil,2021-03-28,141036,15.0
Brazil,2021-03-29,124773,13.27
Brazil,2021-03-30,266480,28.34
Brazil,2021-03-31,291502,31.0
Brazil,2021-04-01,291929,31.04
Brazil,2021-04-02,223147,23.73
Brazil,2021-04-03,139668,14.85
Brazil,2021-04-04,99580,10.59
Brazil,2021-04-05,90799,9.66
Brazil,2021-04-06,280039,29.78
Brazil,2021-04-07,291708,31.02
Brazil,2021-04-08,280478,29.82
Brazil,2021-04-09,293400,31.2
Brazil,2021-04-10,229528,24.41
Brazil,2021-04-11,116944,12.44
Brazil,2021-04-12,113348,12.05
Brazil,2021-04-13,260795,27.73
Brazil,2021-04-14,233340,24.81
Brazil,2021-04-15,231442,24.61
Brazil,2021-04-16,273182,29.05
Brazil,2021-04-17,214810,22.84
Brazil,2021-04-18,135489,14.41
Brazil,2021-04-19,96776,10.29
Brazil,2021-04-20,218831,23.27
Brazil,2021-04-21,255512,27.17
Brazil,2021-04-22,144179,15.33
Brazil,2021-04-23,218381,23.22
Brazil,2021-04-24,227304,24.17
Brazil,2021-04-25,102607,10.91
Brazil,2021-04-26,90371,9.61
Brazil,2021-04-27,228388,24.29
Brazil,2021-04-28,255237,27.14
Brazil,2021-04-29,219849,23.38
Brazil,2021-04-30,217130,23.09
Brazil,2021-05-01,209941,22.32
Brazil,2021-05-02,91146,9.69
Brazil,2021-05-03,78027,8.3
Brazil,2021-05-04,247342,26.3
Brazil,2021-05-05,235008,24.99
Brazil,2021-05-06,237036,25.2
Brazil,2021-05-07,252551,26.85
Brazil,2021-05-08,202225,21.5
Brazil,2021-05-09,124489,13.24
Brazil,2021-05-10,80159,8.52
Brazil,2021-05-11,230181,24.48
Brazil,2021-05-12,241750,25.71
Brazil,2021-05-13,238066,25.31
Brazil,2021-05-14,272576,28.98
Brazil,2021-05-15,212326,22.58
Brazil,2021-05-16,129485,13.77
Brazil,2021-05-17,94475,10.05
Brazil,2021-05-18,239874,25.51
Brazil,2021-05-19,249797,26.56
Brazil,2021-05-20,259289,27.57
Brazil,2021-05-21,240348,25.56
Brazil,2021-05-22,229007,24.35
Brazil,2021-05-23,126085,13.41
Brazil,2021-05-24,117127,12.45
Brazil,2021-05-25,231548,24.62
Brazil,2021-05-26,253221,26.93
Brazil,2021-05-27,212938,22.64
Brazil,2021-05-28,154696,16.45
Brazil,2021-05-29,249951,26.58
Brazil,2021-05-30,135162,14.37
Brazil,2021-05-31,95601,10.17
Brazil,2021-06-01,247131,26.28
Brazil,2021-06-02,302160,32.13
Brazil,2021-06-03,261467,27.8
Brazil,2021-06-04,118590,12.61
Brazil,2021-06-05,209301,22.26
Brazil,2021-06-06,123983,13.18
Brazil,2021-06-07,119513,12.71
Brazil,2021-06-08,170142,18.09
Brazil,2021-06-09,268501,28.55
Brazil,2021-06-10,276031,29.35
Brazil,2021-06-11,266580,28.35
Brazil,2021-06-12,247681,26.34
Brazil,2021-06-13,118534,12.6
Brazil,2021-06-14,123571,13.14
Brazil,2021-06-15,254256,27.04
Brazil,2021-06-16,297386,31.62
Brazil,2021-06-17,233208,24.8
Brazil,2021-06-18,312302,33.21
Brazil,2021-06-19,257954,27.43
Brazil,2021-06-20,137595,14.63
Brazil,2021-06-21,120359,12.8
Brazil,2021-06-22,276230,29.37
Brazil,2021-06-23,356305,37.89
Brazil,2021-06-24,230372,24.5
Brazil,2021-06-25,249064,26.48
Brazil,2021-06-26,202226,21.5
Brazil,2021-06-27,105394,11.21
Brazil,2021-06-28,86347,9.18
Brazil,2021-06-29,205951,21.9
Brazil,2021-06-30,136974,14.56
Brazil,2021-07-01,202820,21.57
Brazil,2021-07-02,203008,21.59
Brazil,2021-07-03,170182,18.1
Brazil,2021-07-04,87493,9.3
Brazil,2021-07-05,70930,7.54
Brazil,2021-07-06,197584,21.01
Brazil,2021-07-07,169794,18.05
Brazil,2021-07-08,167947,17.86
Brazil,2021-07-09,181588,19.31
Brazil,2021-07-10,152459,16.21
Brazil,2021-07-11,65517,6.97
Brazil,2021-07-12,54034,5.75
Brazil,2021-07-13,143447,15.25
Brazil,2021-07-14,181097,19.26
Brazil,2021-07-15,165356,17.58
Brazil,2021-07-16,143200,15.23
Brazil,2021-07-17,107755,11.46
Brazil,2021-07-18,106957,11.37
Brazil,2021-07-19,47824,5.09
Brazil,2021-07-20,87050,9.26
Brazil,2021-07-21,170887,18.17
Brazil,2021-07-22,155803,16.57
Brazil,2021-07-23,350215,37.24
Brazil,2021-07-24,125321,13.33
Brazil,2021-07-25,57484,6.11
Brazil,2021-07-26,74911,7.97
Brazil,2021-07-27,131561,13.99
Brazil,2021-07-28,153414,16.31
Brazil,2021-07-29,134137,14.26
Brazil,2021-07-30,129395,13.76
Brazil,2021-07-31,122461,13.02
Brazil,2021-08-01,64350,6.84
Brazil,2021-08-02,47877,5.09
Brazil,2021-08-03,103888,11.05
Brazil,2021-08-04,129377,13.76
Brazil,2021-08-05,143057,15.21
Brazil,2021-08-06,133188,14.16
Brazil,2021-08-07,134860,14.34
Brazil,2021-08-08,44050,4.68
Brazil,2021-08-09,38376,4.08
Brazil,2021-08-10,111139,11.82
Brazil,2021-08-11,102671,10.92
Brazil,2021-08-12,127152,13.52
Brazil,2021-08-13,107668,11.45
Brazil,2021-08-14,100425,10.68
Brazil,2021-08-15,44119,4.69
Brazil,2021-08-16,47511,5.05
Brazil,2021-08-17,119694,12.73
Brazil,2021-08-18,133649,14.21
Brazil,2021-08-19,117582,12.5
Brazil,2021-08-20,108808,11.57
Brazil,2021-08-21,91401,9.72
Brazil,2021-08-22,45995,4.89
Brazil,2021-08-23,42748,4.55
Brazil,2021-08-24,99934,10.63
Brazil,2021-08-25,98889,10.52
Brazil,2021-08-26,99136,10.54
Brazil,2021-08-27,88742,9.44
Brazil,2021-08-28,80091,8.52
Brazil,2021-08-29,42235,4.49
Brazil,2021-08-30,34104,3.63
Brazil,2021-08-31,79704,8.48
Brazil,2021-09-01,88093,9.37
Brazil,2021-09-02,84780,9.01
Brazil,2021-09-03,82422,8.76
Brazil,2021-09-04,70849,7.53
Brazil,2021-09-05,41311,4.39
Brazil,2021-09-06,29684,3.16
Brazil,2021-09-07,45494,4.84
Brazil,2021-09-08,50368,5.36
Brazil,2021-09-09,97470,10.36
Brazil,2021-09-10,50801,5.4
Brazil,2021-09-11,45012,4.79
Brazil,2021-09-12,31253,3.32
Brazil,2021-09-13,21098,2.24
Brazil,2021-09-14,42387,4.51
Brazil,2021-09-15,50484,5.37
Brazil,2021-09-16,109611,11.66
Brazil,2021-09-17,35391,3.76
Brazil,2021-09-19,31293,3.33
Brazil,2021-09-20,25462,2.71
Brazil,2021-09-21,3239,0.34
Brazil,2021-09-22,114934,12.22
Brazil,2021-09-23,79965,8.5
Brazil,2021-09-24,62316,6.63
Brazil,2021-09-25,49907,5.31
Brazil,2021-09-26,27244,2.9
Brazil,2021-09-27,47938,5.1
Brazil,2021-09-28,49313,5.24
Brazil,2021-09-29,56084,5.96
Brazil,2021-09-30,81479,8.66
Brazil,2021-10-01,60136,6.39
Brazil,2021-10-02,42241,4.49
Brazil,2021-10-03,28918,3.07
Brazil,2021-10-04,32937,3.5
Brazil,2021-10-05,67803,7.21
Brazil,2021-10-06,56678,6.03
Brazil,2021-10-07,49277,5.24
Brazil,2021-10-08,58396,6.21
Brazil,2021-10-09,52057,5.54
Brazil,2021-10-10,27518,2.93
Brazil,2021-10-11,22072,2.35
Brazil,2021-10-12,23459,2.49
Brazil,2021-10-13,25041,2.66
Brazil,2021-10-14,45305,4.82
Brazil,2021-10-15,47732,5.08
Brazil,2021-10-16,35854,3.81
Brazil,2021-10-17,17997,1.91
Brazil,2021-10-18,23177,2.46
Brazil,2021-10-19,38387,4.08
Brazil,2021-10-20,48803,5.19
Brazil,2021-10-21,53810,5.72
Brazil,2021-10-22,45444,4.83
Brazil,2021-10-23,36275,3.86
Brazil,2021-10-24,19835,2.11
Brazil,2021-10-25,17942,1.91
Brazil,2021-10-26,42134,4.48
Brazil,2021-10-27,53667,5.71
Brazil,2021-10-28,48505,5.16
Brazil,2021-10-29,37835,4.02
Brazil,2021-10-30,33657,3.58
Brazil,2021-10-31,21245,2.26
Brazil,2021-11-01,12060,1.28
Brazil,2021-11-02,20409,2.17
Brazil,2021-11-03,45481,4.84
Brazil,2021-11-04,41697,4.43
Brazil,2021-11-05,41290,4.39
Brazil,2021-11-06,37431,3.98
Brazil,2021-11-07,18605,1.98
Brazil,2021-11-08,17901,1.9
Brazil,2021-11-09,34337,3.65
Brazil,2021-11-10,38939,4.14
Brazil,2021-11-11,48118,5.12
Brazil,2021-11-12,46379,4.93
Brazil,2021-11-13,46828,4.98
Brazil,2021-11-14,12645,1.34
Brazil,2021-11-15,9002,0.96
Brazil,2021-11-16,15505,1.65
Brazil,2021-11-17,37745,4.01
Brazil,2021-11-18,38454,4.09
Brazil,2021-11-19,41663,4.43
Brazil,2021-11-20,27316,2.9
Brazil,2021-11-21,16295,1.73
Brazil,2021-11-22,8066,0.86
Brazil,2021-11-23,32106,3.41
Brazil,2021-11-24,40557,4.31
Brazil,2021-11-25,38156,4.06
Brazil,2021-11-26,38578,4.1
Brazil,2021-11-27,28908,3.07
Brazil,2021-11-28,12349,1.31
Brazil,2021-11-29,11841,1.26
Brazil,2021-11-30,30512,3.24
Brazil,2021-12-01,35798,3.81
Brazil,2021-12-02,40005,4.25
Brazil,2021-12-03,33286,3.54
Brazil,2021-12-04,27560,2.93
Brazil,2021-12-05,15469,1.64
Brazil,2021-12-06,13691,1.46
Brazil,2021-12-07,32011,3.4
Brazil,2021-12-08,31408,3.34
Brazil,2021-12-09,28637,3.05
Brazil,2021-12-10,24427,2.6
Brazil,2021-12-11,10181,1.08
Brazil,2021-12-12,5286,0.56
Brazil,2021-12-13,6553,0.7
Brazil,2021-12-14,11668,1.24
Brazil,2021-12-15,16588,1.76
Brazil,2021-12-16,11309,1.2
Brazil,2021-12-17,12417,1.32
Brazil,2021-12-18,10118,1.08
Brazil,2021-12-19,4262,0.45
Brazil,2021-12-20,6444,0.69
Brazil,2021-12-21,11034,1.17
Brazil,2021-12-22,10452,1.11
Brazil,2021-12-23,11055,1.18
Brazil,2021-12-24,12895,1.37
Brazil,2021-12-25,11840,1.26
Brazil,2021-12-26,14778,1.57
Brazil,2021-12-27,19753,2.1
Brazil,2021-12-28,26892,2.86
Brazil,2021-12-29,28522,3.03
Brazil,2021-12-30,42445,4.51
Brazil,2021-12-31,32369,3.44
Brazil,2022-01-01,12611,1.34
Brazil,2022-01-02,5411,0.58
Brazil,2022-01-03,40795,4.34
Brazil,2022-01-04,60325,6.41
Brazil,2022-01-05,89010,9.46
Brazil,2022-01-06,116130,12.35
Brazil,2022-01-07,202602,21.54
Brazil,2022-01-08,157456,16.74
